Name,Year,Body_Type,Origin,Province,District,Transmission,Fuel_Type,Brand,price_num,age,mileage_num
Ford Transit Medium 2019,2019,Van/Minivan,Trong nước,Tp.HCM,Tân Phú,Số sàn,Máy dầu,Ford,545000000,6,68000
Mazda CX-5 2017,2017,SUV,Trong nước,Hà Nội,Other,Số tự động,Máy xăng,Mazda,530000000,8,74000
Honda Civic 1.5 Turbo RS 2023,2023,Sedan,Nhập khẩu,Tp.HCM,Quận 10,Số tự động,Máy xăng,Honda,765000000,2,25000
Kia K3 2.0 Premium 2016,2016,Sedan,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Kia,358000000,9,80000
Ford Ranger 2019,2019,Other,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Ford,525000000,6,80000
Kia Morning Si 1.25 MT 2018,2018,Hatchback,Trong nước,Phú Thọ,Hạ Hòa,Số sàn,Máy xăng,Kia,213000000,7,110000
Peugeot 2008 GT Line 2021,2021,Crossover,Nhập khẩu,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Peugeot,609000000,4,35000
Mazda 3 2017,2017,Sedan,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mazda,396000000,8,100000
Mitsubishi Xpander Cross 1.5 AT 2024,2024,Other,Trong nước,Phú Thọ,Hạ Hòa,Số tự động,Máy xăng,Mitsubishi,625000000,1,20000
Kia Sorento 2.2D Premium AWD 2016,2016,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,Kia,499000000,9,100000
Dongben X30 2019,2019,Van/Minivan,Trong nước,Hà Nội,Đông Anh,Số sàn,Máy xăng,Dongben,150000000,6,10000
Toyota Corolla Altis 1.8 G 2010,2010,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Toyota,275000000,15,170000
Ford Ranger Raptor 2021,2021,Bán tải,Nhập khẩu,Tp.HCM,Gò Vấp,Số tự động,Máy xăng,Ford,975000000,4,69000
Mercedes-Benz S400 3.0 V6 2016,2016,Sedan,Trong nước,Tp.HCM,Gò Vấp,Số tự động,Máy xăng,Mercedes-Benz,1479000000,9,30000
BMW 218i Gran Tourer 2018,2018,MPV,Nhập khẩu,Tp.HCM,Gò Vấp,Số tự động,Máy xăng,BMW,530000000,7,30000
Subaru Forester 2.5i-s EyeSight 2022,2022,SUV,Trong nước,Tp.HCM,Gò Vấp,Số tự động,Máy xăng,Subaru,820000000,3,38000
Mitsubishi Outlander 2023,2023,SUV,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mitsubishi,820000000,2,38000
Kia Cerato 1.6 AT Luxury 2020,2020,Sedan,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Kia,470000000,5,79000
Honda CR-V L AWD 2016,2016,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Honda,540000000,9,110000
Mazda CX-5 2022,2022,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mazda,740000000,3,30000
Mercedes-Benz E250 E250 2017,2017,Sedan,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mercedes-Benz,885000000,8,72000
Mercedes-Benz V250 Luxury 2019,2019,MPV,Nhập khẩu,Tp.HCM,Bình Tân,Số tự động,Máy xăng,Mercedes-Benz,1558000000,6,42000
Mercedes-Benz E250 2023,2023,Sedan,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mercedes-Benz,870000000,2,45000
Ford Everest Titanium 2.0 AT 4x2 2020,2020,SUV,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,Ford,860000000,5,80000
Mazda 2 1.5AT 2021,2021,Sedan,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Mazda,365000000,4,35000
Mitsubishi Outlander 2023,2023,SUV,Trong nước,Hà Nội,Other,Số tự động,Máy xăng,Mitsubishi,820000000,2,35000
Mitsubishi Triton 4×4 AT MIVEC PREMIUM 2021,2021,Bán tải,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,Mitsubishi,630000000,4,80000
Ford Focus S 2.0AT 2014,2014,Sedan,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Ford,285000000,11,140000
Mercedes-Benz E250 E250 2017,2017,Sedan,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mercedes-Benz,870000000,8,72000
Mazda CX-8 2023,2023,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mazda,850000000,2,45000
Toyota Corolla Altis 1.8 G 2018,2018,Sedan,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Toyota,515000000,7,93000
Hyundai Creta 1.5L Đặc biệt 2023,2023,Other,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Hyundai,610000000,2,38000
Mitsubishi Xpander 1.5 AT  2018,2018,MPV,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mitsubishi,415000000,7,80000
Chevrolet Captiva ltz 2.4 at 2015,2015,SUV,Trong nước,Tp.HCM,Tân Phú,Số tự động,Máy xăng,Chevrolet,368000000,10,56000
Hyundai Accent 1.4 AT 2021,2021,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Hyundai,386000000,4,60000
Ford Ranger Wildtrak 3.2 4x4 AT 2016,2016,Bán tải,Nhập khẩu,Hà Nội,Nam Từ Liêm,Số tự động,Máy dầu,Ford,520000000,9,100000
Suzuki Swift 1.4 AT 2016,2016,Hatchback,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Suzuki,270000000,9,80000
Mercedes-Benz GLC 300 4Matic 2021,2021,SUV,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1699000000,4,49000
Honda City 1.5 TOP CVT 2019,2019,Sedan,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Honda,390000000,6,85000
